id_category;name;description;position;active;
"18";"Dinafem";"Este excelente banco de semillas feminizadas llamado Dinafem ofrece desde 2005 unas variedades exquisitas muy selectas, como la destacada Moby Dick, procedente de sativas ecuatoriales, Royal Haze, Power Kush, Super Silver Haze o la famosa White Whidow.";"0";"1";
"19";"GeaSeeds";"El objetivo de GeaSeeds es poder vender semillas de la mejor calidad al mejor precio, pasando unos exhaustivos controles de calidad, para así garantizar el máximo porcentaje de la germinación y estabilidad genética.Las semillas son de cosechas recientes, así que es imposible adquirir unas semillas más frescas que estas en el mercado.";"1";"1";
"20";"Sensi Seeds";"Sensi Seeds, solo leyendo su nombre nos provoca sensaciones mágicas, Sensi Seeds es uno de los bancos de semillas de marihuana más reconocidos y importantes del mundo.";"2";"1";
"21";"Sweet Seeds";"Este famoso y excelente banco de semillas conocido como Sweet Seeds está especializado en la selección, conversación y mejora genética de las nuevas gamas de semillas feminizadas de marihuana y también autoflorecientes de altísima calidad.
Las principales variedades de Sweet Seeds destacan en sus propiedades organolépticas.
Son aromáticas y dulces, además son fáciles para el cultivo exterior y cultivo interior de cannabis.
Nuestras semillas de Sweet Seeds pasan por un riguroso proceso de selección y únicamente las mejores semillas de marihuana pasan al envasado, además de conservarse en condiciones de baja temperatura y humedad para así poder garantizar al 95% su germinación.";"3";"1";
"22";"Dutch Passion";"Este banco de semillas de marihuana llamado Dutch Passion produce, desarrolla, mejora y vende semillas de marihuana desde el año 1987.
Dutch Passion és una de las principales empresas holandesas especializadas en crianza y producción de semillas de cannabis.";"4";"1";
"25";"Cannabiogen";"Este banco de semillas denominado Cannabiogen trajo de sus largos viajes unas variedades de semillas de marihuana buscadas en lugares como Colombia, montañas de Jamaica, Pakistan, India, Tailandia… Para luego estabilizarlas y mejorar su calidad y producción. ";"5";"1";
"26";"Advanced Seeds ";"Todas las semillas de marihuana de Advanced Seeds han sido producidas y desarolladas mediante métodos orgánicos de cultivo. 
Advanced Seeds únicamente utiliza insecticidas y fertilizantes naturales en su producción.
 Advanced Seeds emplea un sistema totalmente seguro para obtener semillas feminizadas sin ningún tipo de ingeniería genética de máxima calidad, toda la producción de semillas de marihuana feminizadas se realiza bajo unos estrictos controles en cámaras aisladas que garantizan la identidad y pureza de cada cepa.";"6";"1";
"27";"Buddha Seeds";"Este banco de semillas de marihuana conocido como Buddha Seeds se ha esforzado en todo momento en ofrecer variedades de marihuana automáticas de altísima calidad, consiguiendo excelentes resultados en cuanto a sabor y efecto, con una producción que va de buena a muy buena, a medida que van evolucionando en su trabajo de selección y estabilización.
Cada generación cuenta, y Buddha Seeds consigue destacar en cada salto evolutivo, estando siempre presente en boca de todos como un banco marihuana automática de alta calidad.";"7";"1";
"28";"Barney's Farm";"Este banco de semillas de cannabis es conocido como Barney's Farm ha estado seleccionando genéticas de todo el mundo desde los años 80, y esto le ha permitido a Barney's Farm crear cruces al alcance de muy pocos bancos y así poder ofrecer a sus clientes nuevos y suculentos cruces.";"8";"1";
"29";"Positronics";"Este famoso banco nombrado Positronics colaboró activamente en el nacimiento y desarroyo de los primeros híbridos de Cannabis en los años setenta. 
Se consiguió, no sin problemas, exportar nuevas variedades a Holanda donde se instalaron para poder trabajar de una forma profesional. Fueron pioneros en desarrollar la técnica del cultivo sin semilla mediante esquejes, que supuso todo una revolución para finales de los años setenta.
Positronics se consolidó en Ámsterdam como la empresa pionera en la crianza selectiva del Cannabis. Desde entonces hasta hoy, el siglo XXI, la crianza no ha dejado de extenderse entre miles de cultivadores.
";"9";"1";
"64";"Green House Seeds";"";"10";"1";
"65";"Paradise Seeds";"";"11";"1";
"66";"Kannabia";"";"12";"1";
"67";"Eva Seeds";"";"13";"1";
"68";"Medical Seeds";"";"14";"1";
"69";"Pyramid Seeds";"";"15";"1";
"70";"Mr Nice";"";"16";"1";
"71";"Serious Seeds";"";"17";"1";
"72";"Ripper Seeds";"";"18";"1";
"73";"DNA Genetics";"";"19";"1";
"75";"Royal Queen Seeds";"";"20";"1";
"76";"Mandala Seeds";"";"21";"1";
"77";"Delicious Seeds";"";"22";"1";
"78";"Samsara Seeds";"";"23";"1";
"79";"World of Seeds";"";"24";"1";
"80";"Big Buddha Seeds";"";"25";"1";
"81";"Ace Seeds";"";"26";"1";
"82";"Sagarmatha";"";"27";"1";
"83";"CBD Seeds";"";"28";"1";
"84";"Seedmakers";"";"29";"1";
"85";"White Label";"";"30";"1";
"87";"The Moon Seeds";"";"31";"1";
